29344,15522,20009,26476,31051,14480,19697,27339,34113,4322,32175,22647,28204,10427,14710,28097,35112,6139,24305,33991,37283,4180,24524,36035,43551,11457,36219,32888,21660,12906,39964,47111,41372,14161,18328,22824,35648,4790,35154,24672,35616,5068,14525,58081,27150,11052,23436,40484,29443,18442,20582,24292,99166,7010,31486,28576,30608,9917,44571,28108,48751,10529,18480,35104,47622,16281,18627,35424,77125,12068,36011,41826,36608,11028,36064,44756,33231,15008,29293,22311,27949,10661,33918,71819,30012,18349,37281,29240,30213,13637,62068,70561,45511,37571,38083,44446,72063,17472,61825,52714,45484,28252,37086,58717,80015,23087,52679,47742,61386,25889,56399,57858,5301,
27.228,26.8223,26.346,26.1691,25.6237,27.2622,28.4313,27.5547,32.5957,31.8339,28.4937,24.2992,26.359,26.6901,26.0519,26.6525,28.2011,37.62,32.6732,31.6451,34.0301,25.3416,34.3537,34.8097,31.6447,22.0277,38.8253,28.0611,25.7962,33.5863,52.8306,26.9449,34.4823,39.0476,43.5971,34.2078,33.3159,31.3559,44.1917,31.1962,32.1912,28.9266,27.0598,36.2259,32.8638,25.3,28.1392,36.9751,34.6334,36.657,70.9657,46.2875,42.7574,39.6743,44.6872,35.4647,38.8338,33.0017,44.3576,35.4523,51.4553,54.1285,50.7373,45.1208,45.0621,42.5109,43.3809,40.9697,64.9703,42.9973,41.3323,41.1642,43.569,39.9063,43.8568,43.5172,40.4765,45.0711,40.2981,37.4276,30.4055,25.3181,40.2701,53.2653,43.4321,32.0078,44.8938,36.2011,32.1705,29.757,57.3044,70.295,49.2337,70.7932,104.384,74.3475,81.7487,82.709,80.7793,78.9998,84.1905,99.8137,88.0413,81.7559,72.6933,63.0285,60.175,63.0082,58.8456,70.136,63.8374,60.1229,70.2567,
798977,416336,527158,692853,795640,394757,560011,753318,1111938,137586,916784,550304,743428,278298,383224,748854,990197,230949,794121,1075647,1268745,105928,842490,1254369,1378157,252371,1406215,922872,558746,433465,2111324,1269401,1426602,552953,799047,780758,1187645,150195,1553514,769672,1146522,146600,393043,2104039,892251,279616,659471,1496900,1019710,676028,1460617,1124416,4240078,278117,1407021,1013439,1188624,327278,1977064,996493,2508498,569919,937626,1583919,2145948,692120,808056,1451309,5010832,518892,1488419,1721735,1594974,440087,1581653,1947655,1345074,676427,1180452,835047,849803,269916,1365880,3825463,1303484,587312,1673686,1058521,971966,405796,3556769,4960082,2240673,2659770,3975254,3304447,5891056,1445091,4994182,4164398,3829320,2819936,3265101,4800460,5816553,1455139,3169959,3008137,3612296,1815752,3600363,3478590,372431,
63855302400,63855324000,63855345600,63855367200,63855388800,63855410400,63855432000,63855453600,63855475200,63855496800,63855518400,63855540000,63855561600,63855583200,63855604800,63855626400,63855648000,63855669600,63855691200,63855712800,63855734400,63855756000,63855777600,63855799200,63855820800,63855842400,63855864000,63855885600,63855907200,63855928800,63855950400,63855972000,63855993600,63856015200,63856036800,63856058400,63856080000,63856101600,63856123200,63856144800,63856166400,63856188000,63856209600,63856231200,63856252800,63856274400,63856296000,63856317600,63856339200,63856360800,63856382400,63856404000,63856425600,63856447200,63856468800,63856490400,63856512000,63856533600,63856555200,63856576800,63856598400,63856620000,63856641600,63856663200,63856684800,63856706400,63856728000,63856749600,63856771200,63856792800,63856814400,63856836000,63856857600,63856879200,63856900800,63856922400,63856944000,63856965600,63856987200,63857008800,63857030400,63857052000,63857073600,63857095200,63857116800,63857138400,63857160000,63857181600,63857203200,63857224800,63857246400,63857268000,63857289600,63857311200,63857332800,63857354400,63857376000,63857397600,63857419200,63857440800,63857462400,63857484000,63857505600,63857527200,63857548800,63857570400,63857592000,63857613600,63857635200,63857656800,63857678400,63857700000,63857721600,
5139,10664,3425,13043,7710,4341,10557,4313,7310,4307,3723,4401,5846,4917,10186,16721,10108,4579,6516,7793,8392,7071,6600,7624,8060,1923,5228,13778,9316,1539,12881,9668,10699,1427,5551,5843,7368,2785,3697,8850,3589,1371,3122,5680,6416,850,3572,4580,9638,2023,11061,6065,5658,3530,3309,2879,6857,4013,7897,6937,8630,4208,7011,11576,13399,4534,8026,19683,18371,1746,4833,8447,14654,2089,7079,3743,15538,4301,7327,14933,10806,3697,7381,6852,9522,6031,12361,17214,7467,2082,6937,20524,5821,1714,3920,5871,8244,2320,13043,8646,9263,12506,2588,14702,7078,5889,5207,3286,9998,4497,6617,36821,476,
41.2835,35.8229,37.8669,43.101,37.8254,41.0101,36.8123,30.7489,28.4313,57.7193,45.4827,34.5303,33.0373,43.5188,34.143,41.5129,32.6557,36.2367,31.3295,29.2419,25.6765,41.7716,37.792,36.8278,31.829,22.3687,35.8483,57.7479,33.4016,26.5328,33.9444,37.9263,37.3243,32.5095,45.3435,33.3551,32.809,52.4093,34.376,53.3121,45.5386,58.5682,46.6195,48.6923,47.0784,41.0412,40.4395,37.8478,35.0179,40.178,29.0818,31.1129,30.903,38.8193,34.4319,36.5241,40.7201,29.4418,48.591,44.9308,39.3392,57.2322,43.4412,44.44,39.729,39.6983,45.0915,39.4893,46.6333,39.0407,49.981,40.1696,56.1256,42.8569,50.1198,44.4804,44.4603,43.4083,41.1803,48.8796,43.0349,44.7168,42.9778,43.8087,50.222,47.2283,53.3548,48.3774,43.6493,38.4942,52.2743,82.0604,99.2678,69.8261,93.2033,96.9545,72.016,58.2142,144.521,71.7549,69.0981,65.8021,64.8972,77.9213,52.8402,68.2447,85.4682,69.7812,58.5837,66.2646,63.2941,65.2258,51,
212156,382015,129694,562166,291634,178025,388627,132620,207833,248597,169332,151968,193136,213982,347781,694137,330084,165928,204143,227882,215477,295367,249427,280775,256542,43015,187415,795651,311169,40834,437238,366671,399333,46391,251702,194894,241737,145960,127088,471812,163438,80297,145546,276572,302055,34885,144450,173343,337503,81280,321674,188700,174849,137032,113935,105153,279218,118150,383723,311685,339497,240833,304566,514437,532329,179992,361904,777267,856700,68165,241558,339313,822465,89528,354798,166490,690824,186699,301728,729919,465035,165318,317219,300177,478214,284834,659519,832769,325929,80145,362627,1684208,577838,119682,365357,569220,593700,135057,1884989,620393,640056,822921,167954,1145599,374003,401893,445033,229301,585720,297992,418817,2401680,24276,
63855302400,63855324000,63855345600,63855367200,63855388800,63855410400,63855432000,63855453600,63855475200,63855496800,63855518400,63855540000,63855561600,63855583200,63855604800,63855626400,63855648000,63855669600,63855691200,63855712800,63855734400,63855756000,63855777600,63855799200,63855820800,63855842400,63855864000,63855885600,63855907200,63855928800,63855950400,63855972000,63855993600,63856015200,63856036800,63856058400,63856080000,63856101600,63856123200,63856144800,63856166400,63856188000,63856209600,63856231200,63856252800,63856274400,63856296000,63856317600,63856339200,63856360800,63856382400,63856404000,63856425600,63856447200,63856468800,63856490400,63856512000,63856533600,63856555200,63856576800,63856598400,63856620000,63856641600,63856663200,63856684800,63856706400,63856728000,63856749600,63856771200,63856792800,63856814400,63856836000,63856857600,63856879200,63856900800,63856922400,63856944000,63856965600,63856987200,63857008800,63857030400,63857052000,63857073600,63857095200,63857116800,63857138400,63857160000,63857181600,63857203200,63857224800,63857246400,63857268000,63857289600,63857311200,63857332800,63857354400,63857376000,63857397600,63857419200,63857440800,63857462400,63857484000,63857505600,63857527200,63857548800,63857570400,63857592000,63857613600,63857635200,63857656800,63857678400,63857700000,63857721600,
4477,1500,3550,7613,14309,598,2401,4409,5904,1225,9120,3945,6272,1042,3882,6521,5889,3039,2559,5404,7256,1031,1536,4018,3505,1446,11705,7952,4380,1268,5004,11865,6002,3314,2242,6103,4298,6651,5721,2003,2358,1267,5384,4887,3849,3386,4006,5089,3935,938,3815,13310,3952,1409,2739,5163,5746,2536,7559,3355,2946,3053,9660,6781,10736,3322,5881,6077,8914,2443,3875,13116,3233,628,9244,9771,6469,488,3675,5021,7516,704,3716,4102,5260,15251,3280,5916,3061,1410,12873,21945,4300,3316,3518,8062,6363,1491,13736,10232,14814,2422,4479,4934,6473,6716,5797,9861,9772,2656,16135,5346,211,
19.0914,17.2313,16.8355,17.9095,28.3239,15,20.3615,23.7457,19.4875,15.2571,15.3629,21.145,30.7427,25.6257,37.923,26.7016,18.3642,23.6624,15.1145,12.2276,24.9992,20.969,16.2422,16.5784,16.5409,17.1383,30.7933,23.5483,17.8313,17.2019,17.9492,28.477,21.5596,34.0154,18.0763,18.6631,24.4349,46.0511,31.7472,19.4209,18.0763,20.4096,18.3223,18.9288,16.6695,18.4793,17.528,20.4948,17.3761,19.1461,24.4585,27.1104,21.7566,20,25.7484,29.1916,30.2249,26.7855,34.0892,25.4438,21.7396,22.4343,39.7459,34.2604,36.214,36.7703,31.7761,31.5389,39.1747,38.8637,37.1819,39.6499,27.8985,23.4857,37.3943,39.3743,41.4055,26,28.2065,31.0179,44.1715,37.3963,43.9171,35.8757,32.2224,56.4572,39.8274,36.8247,30.4845,31.3043,47.7813,58.9767,35.6547,57.6046,51.5208,35.8131,46.3695,64.4165,169.265,87.0219,145.955,91.1396,125.868,65.8423,61.3601,75.1233,79.1904,64.9809,57.8822,59.5139,94.6358,56.601,61.4265,
